wine,chips,bread,butter,milk,apple
wine,,bread,butter,milk,
,,bread,butter,milk,
,chips,,,,apple
wine,chips,bread,butter,milk,apple
wine,chips,,,milk,
wine,chips,bread,butter,,apple
wine,chips,,,milk,
wine,,bread,,,apple
wine,,bread,butter,milk,
,chips,bread,butter,,apple
wine,,,butter,milk,apple
wine,chips,bread,butter,milk,
wine,,bread,,milk,apple
wine,,bread,butter,milk,apple
wine,chips,bread,butter,milk,apple
,chips,bread,butter,milk,apple
,chips,,butter,milk,apple
wine,chips,bread,butter,milk,apple
wine,,bread,butter,milk,apple
wine,chips,bread,,milk,apple
,chips,,,,
